1,die Bewerbung,mappe ariza,telefon,sumka
2,das Unternehmen,korxona,muz,oyna
3,der Angestellte,xodim,stul,qalam
4,die Erfahrung,tajriba,gul,telefon
5,das Projekt,loyiha,oy,mashina
6,der Kollege,hamkasb,muz,sumka
7,die Verantwortung,mas'uliyat,telefon,stakan
8,das Verständnis,tushuncha,qalam,gul
9,der Einfluss,ta'sir,oyna,telefon
10,die Herausforderung,qiyinchilik,sumka,muz
11,bewerben,ariza topshirmoq,qochmoq,sakrash
12,zuverlässig,ishonchli,ishonchsiz,oddiy
13,diskutieren,muhokama qilmoq,unutmoq,sotmoq
14,mittlerweile,shu paytgacha,kecha,erta
15,selbstständig,mustaqil,qaram,sovuq
16,beobachten,kuzatmoq,uxlamoq,suzmoq
17,kritisch,tanqidiy,oddiy,baland
18,dennoch,shunga qaramay,faqat,kecha
19,beweisen,isbotlamoq,yashirmoq,qochmoq
20,deutlich,aniq,noaniq,past
21,die Ausbildung,ta'lim,telefon,sumka
22,das Studium,o'qish,muz,oyna
23,der Dozent,o'qituvchi,stul,qalam
24,die Vorlesung,ma'ruza,gul,telefon
25,das Semester,semestr,oy,mashina
26,der Teilnehmer,ishtirokchi,muz,sumka
27,die Diskussion,munozara,telefon,stakan
28,das Argument,dalil,qalam,gul
29,der Vortrag,taqdimot,oyna,telefon
30,die Forschung,tadqiqot,sumka,muz
31,analysieren,tahlil qilmoq,qochmoq,sakrash
32,konzentriert,diqqatli,chalg'igan,oddiy
33,beschreiben,tasvirlamoq,unutmoq,sotmoq
34,wahrscheinlich,ehtimol,aniq,erta
35,kompliziert,murakkab,oson,sovuq
36,bewerten,baholamoq,uxlamoq,suzmoq
37,neugierig,qiziquvchan,beparvo,baland
38,anschließend,keyinchalik,oldin,kecha
39,erwähnen,eslatib o'tmoq,yashirmoq,qochmoq
40,verständlich,tushunarli,tushunarsiz,past
41,die Beziehung,munosabat,telefon,sumka
42,das Vertrauen,ishonch,muz,oyna
43,der Streit,janjal,stul,qalam
44,die Kommunikation,muloqot,gul,telefon
45,das Missverständnis,tushunmovchilik,oy,mashina
46,der Kontakt,aloqa,muz,sumka
47,die Partnerschaft,hamkorlik,telefon,stakan
48,das Verhalten,xatti-harakat,qalam,gul
49,der Charakter,xarakter,oyna,telefon
50,die Meinung,fikr,sumka,muz
51,akzeptieren,qabul qilmoq,qochmoq,sakrash
52,ehrlich,halol,yolg'onchi,oddiy
53,reagieren,reaksiya bildirmoq,unutmoq,sotmoq
54,tatsächlich,haqiqatda,balki,erta
55,enttäuscht,xafa,mamnun,sovuq
56,respektieren,hurmat qilmoq,uxlamoq,suzmoq
57,respektvoll,hurmatli,qo'pol,baland
58,allerdings,biroq,faqat,kecha
59,verzeihen,kechirmoq,yashirmoq,qochmoq
60,unhöflich,qo'pol,xushmuomala,past
61,die Umweltverschmutzung,atrof-muhit ifloslanishi,telefon,sumka
62,das Recyclingzentrum,qayta ishlash markazi,muz,oyna
63,der Energieverbrauch,energiya sarfi,stul,qalam
64,die Klimaveränderung,iqlim o'zgarishi,gul,telefon
65,das Verkehrssystem,transport tizimi,oy,mashina
66,der Benzinpreis,benzin narxi,muz,sumka
67,die Mülltrennung,axlat saralash,telefon,stakan
68,das Naturproblem,tabiat muammosi,qalam,gul
69,der Umweltschutz,atrof-muhit himoyasi,oyna,telefon
70,die Lebensweise,hayot tarzi,sumka,muz
71,reduzieren,kamaytirmoq,qochmoq,sakrash
72,umweltfreundlich,ekologik toza,zararli,oddiy
73,unterstützen,qo'llab-quvvatlamoq,unutmoq,sotmoq
74,inzwischen,bu orada,kecha,erta
75,gefährdet,xavf ostida,xavfsiz,sovuq
76,verbrauchen,iste'mol qilmoq,uxlamoq,suzmoq
77,sinnvoll,mazmunli,befoyda,baland
78,trotzdem,shunga qaramay,faqat,kecha
79,schützen,himoya qilmoq,yashirmoq,qochmoq
80,verantwortlich,mas'uliyatli,mas'uliyatsiz,past
81,die Versicherung,sug'urta,telefon,sumka
82,das Formular,forma,muz,oyna
83,der Einwohner,aholi vakili,stul,qalam
84,die Anmeldung,ro'yxatdan o'tish,gul,telefon
85,das Bürgeramt,fuqarolar idorasi,oy,mashina
86,der Terminplan,reja jadvali,muz,sumka
87,die Genehmigung,ruxsatnoma,telefon,stakan
88,das Dokument,hujjat,qalam,gul
89,der Antrag,so'rovnoma,oyna,telefon
90,die Verwaltung,boshqaruv,sumka,muz
91,beantragen,ariza topshirmoq,qochmoq,sakrash
92,offiziell,rasmiy,norasmiy,oddiy
93,unterschreiben,imzolamoq,unutmoq,sotmoq
94,kürzlich,yaqinda,qadimda,erta
95,gültig,amal qiluvchi,amal qilmaydigan,sovuq
96,verschieben,keyinga surmoq,uxlamoq,suzmoq
97,pünktlich,o'z vaqtida,kechikkan,baland
98,andernfalls,aks holda,shuningdek,kecha
99,bestätigen,tasdiqlamoq,yashirmoq,qochmoq
100,dringend,shoshilinch,oddiy,past
101,die Übernachtung,tunab qolish,telefon,sumka
102,das Stadtviertel,shahar hududi,muz,oyna
103,der Reisende,sayyoh,stul,qalam
104,die Unterkunft,turar joy,gul,telefon
105,das Gepäck,yuk,oy,mashina
106,der Fahrgast,yo'lovchi,muz,sumka
107,die Abfahrt,jo'nash,telefon,stakan
108,das Reiseziel,sayohat manzili,qalam,gul
109,der Aufenthalt,qolish muddati,oyna,telefon
110,die Verspätung,kechikish,sumka,muz
111,reservieren,band qilmoq,qochmoq,sakrash
112,begeistert,juda xursand,xafa,oddiy
113,umbuchen,qayta bron qilmoq,unutmoq,sotmoq
114,unterwegs,yo'lda,uyda,erta
115,genervt,jahli chiqqan,xotirjam,sovuq
116,ankündigen,e'lon qilmoq,uxlamoq,suzmoq
117,beeindruckend,ta'sirli,oddiy,baland
118,infolgedessen,natijada,bekordan-bekorga,kecha
119,stornieren,bekor qilmoq,yashirmoq,qochmoq
120,ungewöhnlich,g'ayrioddiy,odatiy,past
121,die Ernährung,ovqatlanish,telefon,sumka
122,das Medikament,dori,muz,oyna
123,der Notfall,shoshilinch holat,stul,qalam
124,die Behandlung,davolash,gul,telefon
125,das Symptom,alomat,oy,mashina
126,der Patient,bemor,muz,sumka
127,die Untersuchung,tekshiruv,telefon,stakan
128,das Fitnessstudio,sport zali,qalam,gul
129,der Blutdruck,qon bosimi,oyna,telefon
130,die Operation,operatsiya,sumka,muz
131,behandeln,davolamoq,qochmoq,sakrash
132,erschöpft,juda charchagan,faol,oddiy
133,empfehlen,tavsiya qilmoq,unutmoq,sotmoq
134,regelmäßig,muntazam,tartibsiz,erta
135,ansteckend,yuqumli,xavfsiz,sovuq
136,untersuchen,tekshirmoq,uxlamoq,suzmoq
137,beweglich,harakatchan,sust,baland
138,glücklicherweise,yaxshiyamki,afsuski,kecha
139,heilen,tuzatmoq,yomonlashtirmoq,qochmoq
140,empfindlich,sezgir,qattiq,past
141,die Ausbildungskosten,ta'lim xarajatlari,telefon,sumka
142,das Arbeitsklima,ish muhiti,muz,oyna
143,der Arbeitgeber,ish beruvchi,stul,qalam
144,die Arbeitsstelle,ish joyi,gul,telefon
145,das Vorstellungsgespräch,suhbat,oy,mashina
146,der Berufswunsch,kasb orzusi,muz,sumka
147,die Arbeitszeit,ish vaqti,telefon,stakan
148,das Praktikum,amaliyot,qalam,gul
149,der Lebenslauf,rezyume,oyna,telefon
150,die Kündigung,ishdan bo'shatish,sumka,muz
151,einstellen,ishga olmoq,qochmoq,sakrash
152,arbeitslos,ishsiz,band,oddiy
153,sich bewerben,ishga topshirmoq,unutmoq,sotmoq
154,mittags,tush payti,tongda,erta
155,überfordert,qiynalgan,xotirjam,sovuq
156,kündigen,ishdan ketmoq,uxlamoq,suzmoq
157,belastend,og'ir,oson,baland
158,mittlerweile,shu vaqtgacha,oldin,kecha
159,verdienen,pul ishlamoq,yashirmoq,qochmoq
