1,berücksichtigen,hisobga olmoq,unutmoq,qochmoq
2,zuverlässig,ishonchli,qo‘pol,zerikarli
3,die Voraussetzung,shart,telefon,sumka
4,trotzdem,shunga qaramay,hech qachon,erta
5,sich bemühen,harakat qilmoq,dam olmoq,yashirmoq
6,interessiert,qiziqqan,befarq,asabiy
7,die Verantwortung,mas’uliyat,stul,qalam
8,gelegentlich,ba’zida,doimo,ertalab
9,vermeiden,oldini olmoq,takrorlamoq,sotmoq
10,höflich,xushmuomala,qo‘pol,dangasa
11,die Entscheidung,qaror,mashina,oyna
12,deshalb,shu sababli,bekordan-bekorga,kecha
13,beeinflussen,ta’sir qilmoq,unutmoq,to‘xtamoq
14,praktisch,qulay,noqulay,qimmat
15,die Erfahrung,tajriba,sumka,telefon
16,inzwischen,shu orada,avval,kamdan-kam
17,unterstützen,qo‘llab-quvvatlamoq,tashlab ketmoq,sakrash
18,selbstbewusst,o‘ziga ishongan,uyatchan,zerikarli
19,die Möglichkeit,imkoniyat,oy,muz
20,außerdem,bundan tashqari,umuman,kecha
21,mitteilen,xabar bermoq,berkitmoq,qochmoq
22,geduldig,sabrli,sabrsiz,beparvo
23,die Herausforderung,qiyinchilik,gul,stakan
24,normalerweise,odatda,hech qachon,to‘satdan
25,beantragen,ariza topshirmoq,yashirmoq,sotib olmoq
26,anstrengend,mashaqqatli,oson,shirin
27,die Unterkunft,turar joy,telefon,mashina
28,immerhin,hech bo‘lmasa,umuman,ertalab
29,teilnehmen,qatnashmoq,uxlamoq,qochmoq
30,freundlich,xushmuomala,qo‘pol,qattiqqo‘l
31,der Fortschritt,rivojlanish,oyna,qalam
32,täglich,har kuni,hech qachon,ba’zida
33,entscheiden,qaror qilmoq,ikkilanmoq,yashirmoq
34,kompliziert,murakkab,oson,yumshoq
35,die Anmeldung,ro‘yxatdan o‘tish,muz,telefon
36,übrigens,aytgancha,umuman,kechqurun
37,vergleichen,taqqoslamoq,ajratmoq,to‘xtatmoq
38,aktiv,faol,dangasa,qattiq
39,die Bewerbung,ariza,stul,sumka
40,manchmal,ba’zida,har doim,ertalab
41,beschreiben,tavsiflamoq,yashirmoq,unutmoq
42,bequem,qulay,noqulay,sovuq
43,der Nebenjob,qo‘shimcha ish,mashina,gul
44,plötzlich,to‘satdan,sekin,har kuni
45,empfehlen,tavsiya qilmoq,taqiqlamoq,sotmoq
46,glücklich,baxtli,xafa,befarq
47,die Zahlungsmethode,to‘lov usuli,qalam,telefon
48,daher,shu sababli,hech qachon,ertasiga
49,begründen,asoslamoq,bekor qilmoq,to‘ldirmoq
50,fair,adolatli,adolatsiz,zerikarli
51,tatsächlich,haqiqatda,umuman,kamdan-kam
52,verbessern,yaxshilamoq,buzmoq,qoldirmoq
53,ängstlich,qo‘rqoq,xotirjam,jasur
54,der Ansprechpartner,aloqa shaxsi,stakan,oyna
55,mittlerweile,hozirgacha,avval,kecha
56,überprüfen,tekshirmoq,taxmin qilmoq,sotib olmoq
57,nützlich,foydali,zararli,baland
58,die Aufenthaltserlaubnis,yashash ruxsati,mashina,telefon
59,wenigstens,hech bo‘lmasa,umuman,ertalab
60,verändern,o‘zgartirmoq,saqlamoq,berkitmoq
61,ruhig,tinch,shovqinli,tez
62,die Berufsausbildung,kasbiy ta’lim,qalam,muz
63,anders,boshqacha,bir xil,hech qachon
64,anerkennen,tan olmoq,inkor qilmoq,qochmoq
65,interessant,qiziqarli,zerikarli,sovuq
66,die Freizeitaktivität,bo‘sh vaqt mashg‘uloti,sumka,oyna
67,nämlich,ya’ni,umuman,kecha
68,besprechen,muhokama qilmoq,berkitmoq,unutmoq
69,genervt,jahli chiqqan,xursand,tinch
70,der Kontostand,hisob balansi,telefon,stul
71,gewöhnlich,odatdagi,g‘alati,qimmat
72,entwickeln,rivojlantirmoq,kamaytirmoq,sotmoq
73,offen,ochiq,yopiq,qorong‘i
74,das Umweltproblem,ekologik muammo,muz,gul
75,folglich,natijada,bekordan-bekorga,ertalab
76,erklären,tushuntirmoq,rad qilmoq,berkitmoq
77,chaotisch,tartibsiz,tartibli,oson
78,das Verkehrsmittel,transport vositasi,telefon,sumka
79,gelegentlich,ba’zida,har kuni,ertalab
80,informieren,ma’lumot bermoq,yashirmoq,qochmoq
81,hilfsbereit,yordamchi,qo‘pol,dangasa
82,das Bildungszentrum,ta’lim markazi,mashina,oy
83,anders,boshqacha,doimiy,kechqurun
84,übernehmen,o‘z zimmasiga olmoq,rad etmoq,sakrash
85,persönlich,shaxsiy,rasmiy,qattiq
86,das Onlineformular,onlayn forma,stul,qalam
87,normalerweise,odatda,hech qachon,to‘satdan
88,feststellen,aniqlamoq,yashirmoq,sotmoq
89,beschäftigt,band,bo‘sh,sokin
90,das Fitnessprogramm,fitness dasturi,muz,telefon
91,plötzlich,to‘satdan,sekin,kamdan-kam
92,verzichten,voz kechmoq,taklif qilmoq,chaqirmoq
93,merkwürdig,g‘alati,oddiy,zerikarli
94,das Kulturzentrum,madaniyat markazi,sumka,oyna
95,übrigens,aytgancha,umuman,erta
96,erledigen,bajarmoq,kechiktirmoq,qochmoq
97,genügend,yetarli,kam,qimmat
98,das Krankenhauszimmer,kasalxona xonasi,mashina,gul
99,trotzdem,shunga qaramay,umuman,hech qachon
100,vereinbaren,kelishib olmoq,bekor qilmoq,sotmoq
101,humorvoll,hazilkash,jiddiy,asabiy
102,das Bürgerbüro,fuqarolar byurosi,telefon,stul
103,besonders,ayniqsa,umuman,ertasiga
104,anbieten,taklif qilmoq,yashirmoq,qochmoq
105,zuverlässig,ishonchli,aldamchi,qattiqqo‘l
106,das Reisebüro,sayohat agentligi,muz,qalam
107,gelegentlich,ba’zida,doimo,ertalab
108,umtauschen,almashtirmoq,sotib olmoq,berkitmoq
109,aufmerksam,e’tiborli,beparvo,zerikarli
110,das Computergeschäft,kompyuter do‘koni,oyna,sumka
111,daher,shu sababli,umuman,kechqurun
112,verschieben,keyinga surmoq,tezlashtirmoq,unutmoq
113,seltsam,g‘alati,oddiy,faol
